subcatch_id,area,imperv_percent,depress_stor_perv,depress_stor_imperv,hrtn_init, hrtn_decay, hrtn_final,storm_id,total_rain,time,area_acre,imp_area,perv_area,imp_vol,infil,per_vol,runoff
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/22/2014-8:49:12,0.16,2344,80.09536,4.877807424,75.217552576,0.02438903712,0.919159223505,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/16/2014-20:43:05,0.12,3411,80.09536,4.877807424,75.217552576,0.00812967904,1.09704162265,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/12/2014-18:48:12,0.32,5829,80.09536,4.877807424,75.217552576,0.08942646944,1.4856291049,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/7/2014-21:16:43,0.2,4430,80.09536,4.877807424,75.217552576,0.0406483952,1.26130571272,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/8/2014-14:54:48,0.36,28545,80.09536,4.877807424,75.217552576,0.10568582752,5.12521758546,0.0,0.10568582752
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/30/2014-15:27:24,0.16,2233,80.09536,4.877807424,75.217552576,0.02438903712,0.899579789705,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/27/2013-18:30:01,0.2,7917,80.09536,4.877807424,75.217552576,0.0406483952,1.82018485797,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/23/2013-0:18:06,0.44,11172,80.09536,4.877807424,75.217552576,0.13820454368,2.34170355638,0.0,0.13820454368
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/15/2013-14:43:59,0.6,9911,80.09536,4.877807424,75.217552576,0.203241976,2.13966525885,0.0,0.203241976
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/15/2013-9:08:19,0.24,8683,80.09536,4.877807424,75.217552576,0.05690775328,1.94291417281,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/13/2013-7:44:09,0.28,2014,80.09536,4.877807424,75.217552576,0.07316711136,0.85970249354,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/12/2013-22:55:12,0.28,300,80.09536,4.877807424,75.217552576,0.07316711136,0.278271032911,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/12/2013-5:20:25,0.56,13222,80.09536,4.877807424,75.217552576,0.18698261792,2.67015596959,0.0,0.18698261792
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/12/2013-2:14:11,0.4,3984,80.09536,4.877807424,75.217552576,0.1219451856,1.18961329704,0.0,0.1219451856
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/11/2013-9:27:40,0.24,4864,80.09536,4.877807424,75.217552576,0.05690775328,1.33094447724,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/11/2013-1:06:50,0.16,5832,80.09536,4.877807424,75.217552576,0.02438903712,1.48610984943,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/10/2013-15:24:20,0.6,5679,80.09536,4.877807424,75.217552576,0.203241976,1.46159125548,0.0,0.203241976
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/22/2013-17:21:39,0.44,5217,80.09536,4.877807424,75.217552576,0.13820454368,1.38754328246,0.0,0.13820454368
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/8/2013-20:11:34,0.64,4902,80.09536,4.877807424,75.217552576,0.21950133408,1.33703861357,0.0,0.21950133408
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/15/2013-1:06:30,0.32,43039,80.09536,4.877807424,75.217552576,0.08942646944,7.44745625022,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/13/2013-17:49:38,0.24,7101,80.09536,4.877807424,75.217552576,0.05690775328,1.68944358173,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/28/2013-22:39:51,0.12,888,80.09536,4.877807424,75.217552576,0.00812967904,0.582425183547,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/4/2013-22:39:44,0.2,4725,80.09536,4.877807424,75.217552576,0.0406483952,1.30864907621,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/4/2013-19:38:48,0.12,262,80.09536,4.877807424,75.217552576,0.00812967904,0.249421654844,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/29/2013-16:52:14,0.16,362,80.09536,4.877807424,75.217552576,0.02438903712,0.322155793956,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/29/2013-12:29:54,0.12,416,80.09536,4.877807424,75.217552576,0.00812967904,0.357443221771,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/29/2013-8:55:43,0.12,301,80.09536,4.877807424,75.217552576,0.00812967904,0.279009455207,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/9/2013-14:39:17,0.32,4834,80.09536,4.877807424,75.217552576,0.08942646944,1.32613303083,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/9/2013-0:24:45,0.24,9477,80.09536,4.877807424,75.217552576,0.05690775328,2.07012946819,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/8/2013-14:52:38,0.4,19489,80.09536,4.877807424,75.217552576,0.1219451856,3.67425902689,0.0,0.1219451856
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/1/2013-11:46:23,0.12,9624,80.09536,4.877807424,75.217552576,0.00812967904,2.09368191446,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/23/2013-12:22:26,0.16,5059,80.09536,4.877807424,75.217552576,0.02438903712,1.36221325742,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/16/2013-11:57:17,0.2,1830,80.09536,4.877807424,75.217552576,0.0406483952,0.824450124683,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/14/2013-1:10:45,0.16,1910,80.09536,4.877807424,75.217552576,0.02438903712,0.840013286152,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/26/2012-19:45:44,0.16,2922,80.09536,4.877807424,75.217552576,0.02438903712,1.01701534216,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/25/2012-21:07:49,0.2,9214,80.09536,4.877807424,75.217552576,0.0406483952,2.02799141397,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/12/2012-4:04:54,1.76,29846,80.09536,4.877807424,75.217552576,0.67476336032,5.33366470171,0.0,0.67476336032
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/1/2012-12:56:03,0.12,9557,80.09536,4.877807424,75.217552576,0.00812967904,2.08294712619,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/31/2012-13:55:30,0.28,646,80.09536,4.877807424,75.217552576,0.07316711136,0.482747653074,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/16/2012-19:24:08,0.2,8279,80.09536,4.877807424,75.217552576,0.0406483952,1.87818491832,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/8/2012-18:42:48,0.12,2338,80.09536,4.877807424,75.217552576,0.00812967904,0.918109770781,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/7/2012-18:15:28,0.2,17688,80.09536,4.877807424,75.217552576,0.0406483952,3.3857015662,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/6/2012-20:29:59,0.16,2594,80.09536,4.877807424,75.217552576,0.02438903712,0.962155432656,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/7/2012-0:23:54,1.52,2480,80.09536,4.877807424,75.217552576,0.57720721184,0.942711552287,1.42467339715,2.00188060899
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/6/2012-21:37:09,0.28,5407,80.09536,4.877807424,75.217552576,0.07316711136,1.41799855833,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/23/2012-16:52:59,0.4,19180,80.09536,4.877807424,75.217552576,0.1219451856,3.62475083402,0.0,0.1219451856
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/19/2012-8:51:57,0.44,12023,80.09536,4.877807424,75.217552576,0.13820454368,2.47805136342,0.0,0.13820454368
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/12/2012-20:30:22,0.16,3105,80.09536,4.877807424,75.217552576,0.02438903712,1.04714048421,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/7/2012-11:13:47,0.12,6144,80.09536,4.877807424,75.217552576,0.00812967904,1.53610524844,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/7/2012-2:24:02,0.2,10028,80.09536,4.877807424,75.217552576,0.0406483952,2.15841108132,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/6/2012-19:59:16,0.12,5728,80.09536,4.877807424,75.217552576,0.00812967904,1.46944376256,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/15/2012-0:05:30,0.12,1722,80.09536,4.877807424,75.217552576,0.00812967904,0.802753432744,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/14/2012-22:30:44,0.16,4986,80.09536,4.877807424,75.217552576,0.02438903712,1.35050854917,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/11/2012-23:17:58,0.12,98,80.09536,4.877807424,75.217552576,0.00812967904,0.10492380302,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/3/2012-11:28:36,0.16,5325,80.09536,4.877807424,75.217552576,0.02438903712,1.40485525656,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/14/2011-17:22:54,0.88,23246,80.09536,4.877807424,75.217552576,0.31705748256,4.27620815504,0.0,0.31705748256
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/19/2011-21:38:51,0.16,3646,80.09536,4.877807424,75.217552576,0.02438903712,1.13510365317,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/3/2011-17:53:13,0.28,475,80.09536,4.877807424,75.217552576,0.07316711136,0.393185890487,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/19/2011-17:27:07,0.2,1802,80.09536,4.877807424,75.217552576,0.0406483952,0.818905728708,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/14/2011-14:53:16,0.56,4010,80.09536,4.877807424,75.217552576,0.18698261792,1.19379841858,0.0,0.18698261792
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/13/2011-20:12:50,0.72,7657,80.09536,4.877807424,75.217552576,0.25202005024,1.77852726575,0.0,0.25202005024
